timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690480630113,10020,get_trade.shipping_providers,200,OK,Thread Group 1-267,text,true,,1082,1218,2466,2466,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,10010,0,9949
1690480631077,9067,get_trade.shipping_providers,200,OK,Thread Group 1-2328,text,true,,1080,1218,2466,2466,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9055,0,8932
1690480630455,9844,get_trade.shipping_providers,200,OK,Thread Group 1-835,text,true,,1082,1218,2389,2389,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9841,0,9605
1690480630120,10180,get_trade.shipping_providers,200,OK,Thread Group 1-207,text,true,,1080,1218,2389,2389,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,10174,0,9946
1690480630895,9239,get_trade.shipping_providers,200,OK,Thread Group 1-1771,text,true,,1080,1218,2466,2466,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9236,0,9178
1690480630879,9425,get_trade.shipping_providers,200,OK,Thread Group 1-1706,text,true,,1082,1218,2388,2388,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9416,0,9178
1690480630769,9531,get_trade.shipping_providers,200,OK,Thread Group 1-1354,text,true,,1082,1218,2383,2383,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9528,0,9298
1690480630536,9596,get_trade.shipping_providers,200,OK,Thread Group 1-1036,text,true,,1082,1218,2466,2466,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,9594,0,9525
1690480630123,10018,get_trade.shipping_providers,200,OK,Thread Group 1-293,text,true,,1080,1218,2466,2466,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,10018,0,9816
1690480630121,10183,get_trade.shipping_providers,200,OK,Thread Group 1-21,text,true,,1080,1218,2373,2373,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,10175,0,9931
